org;pro;COG;cat;annotation;pattern
 698 ; 764 ; COG0149 ; G ;Triosephosphate isomerase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 624 ; 1753 ; COG0154 ; J ;Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase; ||||--|-|||||-||---|-||||||||||||||||||||||||||||||||||||||||||||||---|--|--|||||-|||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||---------||||||||||||---||-|||||-||||-|----|||||-|-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||--|||||||||-|||||||||-||-|||||||||||||--|||--|-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||-|-||||||----||||-||||||---||----|-|-||||-|-||--|||||||--|-|-||-|--||||||||-||-||-|-|||||||||||--||-||||-|||||-|||||||||||||||||||||||||||||||||||||||| 
 632 ; 660 ; COG0162 ; J ;Tyrosyl-tRNA synthetase; -|--------|---|---------------------------||---|----------------------|------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 670 ; 683 ; COG0164 ; L ;Ribonuclease HII; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||-||||||||||||||-||||||||||||||||||||||||||-||||||||||||-||||||||||||||||||||-||||||||||||||||--|||||||||||-||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-|||||||||||||||-|----|--||||||||||||----|||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||-||--|||||||||||--||||||||||||||||||||||||||||-||||||||-||||||||||--|||||||||||||||||-|-|||||||||-|||-|||||||||||||||||||||||||||||||||||||||| 
 594 ; 643 ; COG0166 ; G ;Glucose-6-phosphate isomerase; -----------------------||||||||||||||||||-----||||---------------------------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|--||-|||||||||||||||||||||||-||||-|||||||||||--|||||||-||--||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||-|||||||||||||-||||||-|-||||||-|||||--||||||||------|-|||||||||||-|||||||||||||||||||||-|||||||||||-|||||-|||-|-|||||||||-|||||-|||||||||||||||--|||||||||--|||||-|||||||||||||||||-||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||-||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||-||||||||||--||--- 
 496 ; 772 ; COG0168 ; P ;Trk-type K+ transport system, membrane component; --|--|-|||--||----|--|||||||||||||||||||||-|||||||||||||||-|||-|||||||---|-||-|||----------||-|-|||-|--|-|||--|||----|||||-||-|||-||----|-----|-|||-|||-||-|-||--||||--|--||-||-||||||--|--|||--|||||--|||||||||||--|||-|--|--|-||--|-|--|-||-||-|||||||||||||||||||||||||||||||||||||||||||-|||||||||||||-|||||-|-|-||||||||||-|||||-||||||||||-|||||||||||||||-||||||-||||-|-|||--|--||||||||||||-|||---|-|-|||---|-|||----|--||||-|||-|--|----||--||||||-|||-|-|---|||---||||||-|||-||-|----|--||||-|-||-----||--|--|-|-||--||-|-|---|--||||||||||||||-|||--|-|-||||||||||||-|||||||||-|---||||-|||-||-||||||-||||||-|||||-||||||||--||||||||-||||-||||-||||||||||-|||||||||||-|-|||||||-||-|||||||||-|||||||--|-||--||-|--|---|---| 
 673 ; 769 ; COG0171 ; H ;NH3-dependent NAD+ synthetase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||--|||||||--|-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||-|||-||||||||||||||-||||||||||||||||||||||||||||-|||||||||||||||||||||-|||||||||||||||--|||||||||--||||||||||||||||||||||||||||||-||||||||||||||-||||-||-|||||||||||||||||||||||||||||||||||||||||-|-|||||||--|-||||||||||||||||||||-|-||||||||||-|||||||-||||-|||-||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||--||-| 
 702 ; 741 ; COG0172 ; J ;Seryl-tRNA synthetase; |||||||||||||||||||||||||||||||||||||||||||||||||||||---|-||-|-|-|||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 620 ; 629 ; COG0173 ; J ;Aspartyl-tRNA synthetase; -------------------------------------------------------------|-----------|--|------|||||||||||||||||||||||-|||||||||||||||||||-|||-||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||-| 
 653 ; 1079 ; COG0178 ; L ;Excinuclease UvrABC ATPase subunit; -----------------------|||||||||||||||||||-|||--|-||||||||||||||||-------|--|-||---||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||-|||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||-|---|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||-||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 706 ; 861 ; COG0180 ; J ;Tryptophanyl-tRNA synthetase; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 707 ; 710 ; COG0184 ; J ;Ribosomal protein S15P/S13E; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 703 ; 704 ; COG0185 ; J ;Ribosomal protein S19; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||| 
 704 ; 706 ; COG0186 ; J ;Ribosomal protein S17; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||| 
 666 ; 1396 ; COG0187 ; L ;DNA gyrase/topoisomerase IV, subunit B; ---------------------||||||||||||||||||||---------||||||||||||||||----|||-|||------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 666 ; 1113 ; COG0188 ; L ;DNA gyrase/topoisomerase IV, subunit A; ---------------------||||||||||||||||||||---------||||||||||||||||----|||||||------||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 650 ; 728 ; COG0190 ; H ;5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase; -----------|-------|---||||||||||||||||||---------|-|||||||-||||||----|||||||-|||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||--|-||||-|||||||||||||||||||||||||||||||||-|-||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||-|-|-||||||||-||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||| 
 526 ; 763 ; COG0191 ; G ;Fructose/tagatose bisphosphate aldolase; -----------------------||-----|-||-----------------|-||||---|----|------------------|-|-||-|||-|||||||||||||||-||||||||||||||||||||||||||||||||||-||||||-||||||-|||||--||-|||||||-|||||||||-||||||||||||||||-||||||-|||||||-||----||-||------||-----|-||||||||||||||||||||||||||||||-||-||||-|||||||||||||||||||||-||||||||||||||||||||-|||||||||||-|||||||||||||||||||||||||||||||||||||||||-|||||-|||--|-|-||---||||-|---|-----|---||-|||||--|-||---|---||||||||||--|-|---|----|-||||||||||||||||||||||||||||-||||||||||||||-||||-||--|--|-|||||||||||||-||-||-||||||||||||||||||||||-|||||-|||||||||-||||||||-||-|||||||||-||||||||||||||||||-|||--||||-|||||||||--|||||||||||-|-|||-|||-||-|||||||||||||||||||||-||-||||||||-|||||- 
 607 ; 671 ; COG0192 ; H ;S-adenosylmethionine synthetase; ---------------------------------------------------|---|----||----------------|||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||-|||||||||||||||||||||||||||||||||||||||--||||||||||--|||||||--||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||--|-||||||||||||||||||||||||||||||||||||||||-||||||||||||-||||||||-|||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||--||||| 
 617 ; 624 ; COG0193 ; J ;Peptidyl-tRNA hydrolase; -----------------------------------------------------------------------------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 604 ; 635 ; COG0194 ; F ;Guanylate kinase; --------------------|--------------------------------------------------------------||||||||||||||||||||||||||||||||||-||||||-|||||||||-|||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||||||||||||--||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||-||---|||||||||||||||||||||||||||||||||||||--||||| 
 699 ; 713 ; COG0195 ; K ;Transcription antitermination factor NusA, contains S1 and KH domains; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||---|-|||||||-||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 603 ; 624 ; COG0196 ; H ;FAD synthase; ---------------------------------------------|-------------------------------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||--||||||||||--|||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||-|||||||-|||||||||||||||||||||||||||||||||||-|||||||||||||||||||||-|||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-|||||||||||||||||||||||||||||||||||||||-||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||--||--| 
 710 ; 710 ; COG0197 ; J ;Ribosomal protein L16/L10AE; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 702 ; 703 ; COG0198 ; J ;Ribosomal protein L24; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||-||-||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||| 
 622 ; 663 ; COG0199 ; J ;Ribosomal protein S14; --------------------------------------------------||||-|--------||-----------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||-|-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||-||-|||||||||-|||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||-||||||||||-||||| 
 709 ; 709 ; COG0200 ; J ;Ribosomal protein L15; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||| 
 702 ; 716 ; COG0201 ; U ;Preprotein translocase subunit SecY; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 704 ; 745 ; COG0202 ; K ;DNA-directed RNA polymerase, alpha subunit/40 kD subunit; |||||||||||||||||||||||||||||||||||||||||||||-||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 626 ; 628 ; COG0203 ; J ;Ribosomal protein L17; -----------------------------------------------------------------------------------||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 610 ; 2106 ; COG0204 ; I ;1-acyl-sn-glycerol-3-phosphate acyltransferase; -----------------------------------------------------------|-----------------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-|||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||--||--| 
 487 ; 732 ; COG0205 ; G ;6-phosphofructokinase; ----|--------------||------------------------------||-----|-------------------------|-||||-|||-||||||-||||||-|-|||-|||||||||||||||||||||||||||||||||||||-||||||-||||---||--||||||||||||||||||||||-|||||||||||||||||-||||||||||--||||||||||||||||||-|||----||-||||-||-|||||||||||||||-|||||||||||||||||||||||-|-|||-||||||||-|||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||--|---|---|---|-------------|||-|||-|--|-------|-------||-------|--|-------|---|||--||||-||||-----|---|--||---|---||||--|-|-|--||||||||||||||||||||||||||||---||||-|||--|||||-||-||||--|||||||-||||||||---|||||||||||||||-||-|-|||||||||-||-||-|||||||||-||||||-||||||||-|||||||||||||||||||||||||||||||||||||-|||||||||--||--| 
 653 ; 863 ; COG0206 ; D ;Cell division GTPase FtsZ; ---------------------|||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||--|||||||||||||||||||------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-|||||||||||||||-|||--|--|||-|||||||------||||||||||||||||||||||-|||||||||||||||||||||||||||||||||-||||||||||||-|||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||-|||||||||||||||||-|||-|||||||||||||||||||||||||||||||||||||||||||||||||||| 
 434 ; 458 ; COG0207 ; F ;Thymidylate synthase; --------|--------|---|||-|-||--||||||||||||||||||||||||||-|||-|||||-------------------------|--|||||||||||--||----|||-|||||||||-||||||||-||||-|||-----||--||----|-|--------|||||||||||||||||||||||||||||||||||||||--|||||||||||||||---------------||---|-|-----|--|---|--|-------||--|--|--|-||||||||||||-||||||||||||||||||-|---||--|||-|---------|--------|----|-----------|||||||||-|-|--||-||-|||-||--||-|--|||||||--|---|-||--|||-||||||--|||-|-|-||-||||||||||--|-|||||----||||||||||||||||||||||||||||||-|||||||||||||||||||-||--|||-||---|----||--|--|--|--|----------|-|||||||||||-|-|||||||||||--||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||-|----------------------|----|-|-----|||||-|--|||- 
 431 ; 531 ; COG0208 ; F ;Ribonucleotide reductase beta subunit, ferritin-like domain; ----------|---||-------|||-|||-|---|||-||--------------------------------------------|-|-|-|||-||||-||-|||||-|-|--|-|--||||||||||||||||-||---||||-||||||-|||-||||||||||||||--------|||||||||||||||||||||||||||||||--||||-|||||||||-----||||||-||||---|-----|-||---||-|--||---||---||-||||-||||||||||||||||||||||||||||||||||----|----||||----------||-----------||----|------|||||||-|-||---||-|||--||-||||-|||-|-|||||-||||||--|-|-|--|----||||||-|||||-|-|||-||---||---|||--|||-|-||||--||||-||-|||||||||||||-||||||||||||||||-||-||--|||-----------------||-||--||||||||||||||||||||||||||-|||||||||-|||||||||||||||-||||||||||-|||||||||||||-||||||||||||||||||||||||||||||||||||-|---|------------------------|-------|-|--|--|||| 
